from,to,cost
0,1,0.1
0,47,0.4
1,2,0.7
15,0,1.3
2,3,0.1
3,4,0.5
4,5,0.8
6,16,1.3
53,6,0.5
7,6,0.2
8,7,0.9
9,8,0.2
10,9,0.2
11,10,0.71
12,11,0.17
13,14,0.2
14,15,0.63
15,1,0.8
15,47,1.1
15,16,0.18
15,6,0.3
7,16,0.8
52,16,0.5
16,17,0.54
17,18,0.43
18,19,0.33
19,20,0.24
20,21,0.45
7,22,1.2
52,22,1
23,22,0.21
24,23,0.63
25,24,0.18
26,25,0.52
27,26,0.45
28,27,0.33
29,28,0.24
30,29,0.45
31,32,0.5
32,33,0.2
33,34,0.62
34,35,0.18
35,36,0.4
36,37,0.4
37,38,0.92
40,39,0.24
41,40,0.65
42,41,0.2
43,42,0.62
44,43,0.58
45,44,0.4
46,45,0.51
47,48,0.12
48,49,0.17
49,50,0.29
50,51,0.1
53,52,0.28
54,53,0.47
55,54,0.65
56,55,0.2
57,56,0.18
58,57,0.32
59,58,0.37
60,59,0.18
61,60,0.45
62,61,0.5
63,62,0.25
64,63,0.18
65,64,0.27
66,65,0.3
67,66,0.3
68,67,0.41
69,68,0.35
70,69,0.54
71,70,0.18
72,71,0.23
73,72,0.77
74,73,0.19
75,74,0.48
76,75,0.25
77,76,0.63
78,77,0.21
79,78,0.76
80,79,0
